index,target,D4 ads load [cm3/cm3],D4 ads enthalpy [kJ/mol],Tip5p Henry constant [mol/kg/Pa],voidfraction[widom],density[kg/m^3],surfacearea[m^2/g],LCD[A],PLD[A],H%,N%,O%,C%
46324,6.79,25.06878699,-60.77126,4.10E-06,0.904664,263.2668774,6676.1,18.38859,18.0932,25,25,0,50
27952,6.33,12.87065202,23.36057,5.99E-06,0.935786,128.6165979,7775.97,32.72759,31.94725,37.77777778,4.444444444,4.444444444,53.33333333
49744,6.64,24.85148119,-63.13336,5.65E-06,0.865385,275.7053505,6730.15,17.32152,13.70354,35.82089552,5.970149254,0,58.20895522
24746,6.26,9.614859785,-50.70826,5.26E-06,0.921793,144.7337214,7430.83,26.68617,20.75709,39.39393939,18.18181818,0,42.42424242
56681,6.58,20.0653748,-32.35054,5.24E-06,0.888187,211.2161414,7578.87,21.17759,20.062,38.46153846,10.25641026,0,51.28205128
56680,6.50,20.4757489,-76.61551,6.41E-06,0.946822,105.6080707,8573.3,22.88197,21.76133,38.46153846,10.25641026,0,51.28205128
28069,6.07,8.315030161,-87.55319,7.03E-06,0.926562,161.141968,6936.3,26.33332,18.05867,28.88888889,13.33333333,8.888888889,48.88888889
32007,6.33,12.34601909,0.05987,5.74E-06,0.900438,210.5720959,7970.79,15.93166,13.03304,36.19047619,5.714285714,3.80952381,54.28571429
22394,6.04,7.800311812,-52.58678,7.12E-06,0.905631,204.7107941,6043.72,37.95875,33.35388,23.33333333,13.33333333,16.66666667,46.66666667
30190,6.85,34.35476297,-4.02857,4.83E-06,0.887515,225.8016685,6933.27,16.75696,13.41959,38.70967742,16.12903226,0,45.16129032
38278,5.87,13.44743905,-18.71472,1.82E-05,0.822571,312.2415802,5153.92,18.35651,15.85726,37.20930233,13.95348837,9.302325581,39.53488372
7424,6.36,14.81113864,-78.61311,6.40E-06,0.882382,246.3263696,6116.02,17.68227,13.53536,27.5862069,9.195402299,13.79310345,49.42528736
10590,6.26,12.93137068,-45.63582,7.07E-06,0.946471,93.23968887,8188.04,35.53156,25.02455,42.47787611,3.539823009,0,53.98230088
7423,6.26,14.65769744,-8.40758,8.10E-06,0.864177,276.3937973,6226.05,20.77498,11.93735,27.5862069,9.195402299,13.79310345,49.42528736
23937,6.71,18.58521392,-92.63942,3.65E-06,0.789323,315.7062952,4511.13,19.9435,16.1784,44.82758621,6.896551724,0,48.27586207
54161,6.23,13.67753794,-8.36529,8.08E-06,0.930216,158.2518209,6597.75,20.63916,17.39573,26.15384615,9.230769231,12.30769231,52.30769231
56679,6.93,38.5152607,-14.3403,4.54E-06,0.855805,273.5847,6509.26,19.6802,18.77311,38.46153846,10.25641026,0,51.28205128
49816,6.33,12.74419958,-29.42106,6.01E-06,0.941942,132.5302489,7484.85,36.85733,34.63905,33.33333333,8.333333333,0,58.33333333
31336,6.80,37.16211462,#NAME?,5.86E-06,0.865624,308.392759,6991.95,12.15886,9.74639,29.03225806,12.90322581,6.451612903,51.61290323
57190,6.31,13.23943314,-75.59971,6.48E-06,0.927417,129.9280638,7647.16,47.6203,22.36025,38.23529412,17.64705882,0,44.11764706
25560,6.48,16.43961454,-46.12685,5.39E-06,0.880047,252.47446,6747.32,20.36559,12.77022,35.71428571,17.85714286,0,46.42857143
9816,6.05,8.610172918,-49.02975,7.69E-06,0.956663,77.79814721,7981.89,42.87869,39.07274,41.9047619,7.619047619,0,50.47619048
30210,6.60,20.40418985,-56.4902,5.18E-06,0.889864,237.9363363,7071.61,14.70261,13.0839,35.48387097,12.90322581,3.225806452,48.38709677
23938,6.41,11.24040983,-89.87733,4.40E-06,0.848982,243.1259664,5703.76,16.69708,15.07942,44.82758621,6.896551724,0,48.27586207
21739,6.33,15.50917347,-47.07501,7.31E-06,0.878136,254.0451081,7076.18,16.9666,14.69488,31.57894737,7.894736842,7.894736842,52.63157895
33524,5.89,6.127057273,-54.60155,7.98E-06,0.965252,74.57923918,8040.07,39.39442,35.75229,34.7826087,11.5942029,0,53.62318841
47910,6.17,10.59509338,-87.26462,7.13E-06,0.961908,88.54769869,8070.2,43.72341,24.62585,35.48387097,4.838709677,0,59.67741935
17554,6.87,38.21157818,-15.82892,5.14E-06,0.887393,240.7112638,6603.43,22.89204,21.94187,32.14285714,7.142857143,10.71428571,50
19684,5.99,6.65493247,-71.87995,6.80E-06,0.947796,109.5215016,7334.2,38.79379,29.24401,32.14285714,14.28571429,7.142857143,46.42857143
54162,6.38,23.78345276,-4.88062,9.83E-06,0.854431,316.5036419,5779.08,16.53279,14.11821,26.15384615,9.230769231,12.30769231,52.30769231
7421,6.78,37.5663369,-9.88765,6.17E-06,0.879058,242.7583413,7018.42,17.66224,14.00056,37.38317757,3.738317757,3.738317757,55.14018692
39092,6.56,18.82419683,-41.75125,5.21E-06,0.924083,168.3722416,6364.6,33.10738,32.21998,41.37931034,6.896551724,0,51.72413793
9845,6.34,12.92296495,-52.57061,5.95E-06,0.77385,368.1928526,5484.3,12.93002,9.08019,41.97530864,7.407407407,0,50.61728395
49220,6.24,14.94901932,30.19911,8.70E-06,0.923462,174.4831709,6718.61,35.48154,34.63117,24.13793103,13.79310345,13.79310345,48.27586207
46352,6.96,42.4132148,#NAME?,4.70E-06,0.900064,252.1196847,6932.98,15.4296,13.99351,33.33333333,11.11111111,0,55.55555556
29276,6.84,32.21965527,inf,4.69E-06,0.868513,338.9197593,5706.1,15.12108,10.4867,20,15,0,65
21740,5.90,6.132598319,-80.73594,7.73E-06,0.949153,116.23655,6945.46,42.26625,32.06957,29.54545455,13.63636364,11.36363636,45.45454545
1025,6.28,12.98048649,-121.88387,6.88E-06,0.736051,481.3874902,4586.04,12.80099,10.59124,33.33333333,9.523809524,4.761904762,52.38095238
51548,6.40,14.58613469,-62.65852,5.80E-06,0.907939,194.4667067,7186.78,41.18606,40.15676,34.7826087,7.246376812,1.449275362,56.52173913
50236,6.27,10.49859213,-101.35662,5.67E-06,0.916613,172.4834595,7403.8,46.06978,45.47007,37.80487805,7.317073171,1.219512195,53.65853659
56395,5.79,6.001253587,-66.05755,9.66E-06,0.974381,55.79981772,9238.17,37.10265,29.07353,34.75177305,2.836879433,0,62.41134752
34331,6.92,47.8122663,inf,5.75E-06,0.93178,142.6942249,7319.61,23.61043,20.00551,36.7816092,4.597701149,0,58.62068966
8384,6.21,10.98174418,-50.96582,6.72E-06,0.9127,184.5251703,6940.53,27.02274,20.09684,34.34343434,6.060606061,4.04040404,55.55555556
12962,6.35,12.84845437,-1.60974,5.77E-06,0.928069,134.1139356,7295.62,26.51115,22.16188,37.64705882,4.705882353,0,57.64705882
7822,6.62,23.75570245,-41.02143,5.75E-06,0.905573,154.0087777,6966.85,24.99092,22.06392,40.4494382,8.988764045,2.247191011,48.31460674
18994,6.09,8.689141321,-36.91458,7.12E-06,0.95066,109.705217,6857,47.96307,24.17741,21.95121951,14.63414634,19.51219512,43.90243902
51602,6.92,46.32157636,73.45654,5.59E-06,0.895846,210.228597,6856.89,21.56161,16.50209,36.23188406,5.797101449,1.449275362,56.52173913
